goos: darwin
goarch: arm64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_69-Gas=500-12               	  350160	      3405 ns/op	       500.0 gas/op	       146.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_70-Gas=500-12               	  354313	      3383 ns/op	       500.0 gas/op	       147.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_71-Gas=500-12               	  353089	      3376 ns/op	       500.0 gas/op	       148.1 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_72-Gas=500-12               	  352477	      3366 ns/op	       500.0 gas/op	       148.6 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_73-Gas=500-12               	  354687	      3382 ns/op	       500.0 gas/op	       147.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_74-Gas=500-12               	  349489	      3467 ns/op	       500.0 gas/op	       144.2 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_75-Gas=500-12               	  350314	      3433 ns/op	       500.0 gas/op	       145.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_76-Gas=500-12               	  349496	      3450 ns/op	       500.0 gas/op	       144.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_77-Gas=500-12               	  348537	      3447 ns/op	       500.0 gas/op	       145.0 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_78-Gas=500-12               	  350938	      3421 ns/op	       500.0 gas/op	       146.2 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_79-Gas=500-12               	  354652	      3379 ns/op	       500.0 gas/op	       147.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_80-Gas=500-12               	  293996	      3525 ns/op	       500.0 gas/op	       141.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_81-Gas=500-12               	  348079	      3434 ns/op	       500.0 gas/op	       145.6 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_82-Gas=500-12               	  337119	      3465 ns/op	       500.0 gas/op	       144.3 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_83-Gas=500-12               	  341493	      3498 ns/op	       500.0 gas/op	       142.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_84-Gas=500-12               	  355363	      3373 ns/op	       500.0 gas/op	       148.2 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_85-Gas=500-12               	  351118	      3397 ns/op	       500.0 gas/op	       147.2 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_86-Gas=500-12               	  352287	      3376 ns/op	       500.0 gas/op	       148.1 mgas/s	     320 B/op	       3 allocs/op
